#,Event,Team,Maps,KPR - DPR,#ERROR!,Rating3.0
5-8th,Europe Minor Qualifier 2 - PGL Major Krakow 2017,WySix,3,0.90 - 0.68,14,1.38
2nd,UnderDogs #5,WySix,2,1.16 - 0.51,33,1.65
3-4th,ESEA Main Season 24 Europe,WySix,6,0.88 - 0.69,31,1.36
3rd,Epsilan 14,WySix,3,0.94 - 0.55,30,1.47
1st,Pasino Gaming Days 2017 by LanEx,E-Corp,5,0.86 - 0.73,16,1.27
7-8th,Dolphin CS Shoot 'Em Up 2,E-Corp,11,0.94 - 0.67,80,1.45
9-16th,DreamHack Masters Las Vegas 2017 Europe Open Qualifier,nevermind,1,0.40 - 0.72,-8,0.59
9-16th,ECS Season 2 EU Development League Open Qualifier #4,nevermind,1,0.52 - 0.76,-6,0.84
9-16th,ECS Season 2 EU Development League Open Qualifier #3,nevermind,1,0.97 - 0.74,9,1.45
-,Showmatch CS,Vitality (3),5,0.87 - 0.70,21,1.26
